nhid,name,link,illustrator,character
389914,(C99) [tete-a-tete (Yuunagi Show)] Buruaka no Miku-san no Oribon (Blue Archive) [Digital],https://nhentai.net/g/389914,yuunagi show,miku hatsune
261128,(C94) [PYPYworks (Syamonabe)] Oshiete Lillie (Pokémon Sun and Moon) [Chinese] [绅士仓库汉化],https://nhentai.net/g/261128,syamonabe,lillie
296393,"(C97) [Tenkirin (Kanroame)] ""Datte Fuku, Taka Iindamon"" (Pokémon Sword and Shield, Pokémon Sun and Moon)",https://nhentai.net/g/296393,kanroame,gloria
306836,[Tenkirin (Kanroame)] Uchi ni wa Yuurei-san ga Imasu Kakurenbo Hen | There's a Presence in My House: Hide-and-Seek Chapter [English] [Learn JP with H] [Digital],https://nhentai.net/g/306836,kanroame,null
273440,[Tenkirin (Kanroame)] Uchi ni wa Yuurei-san ga Imasu | There’s a Presence in My House. [English] [Learn JP with H] [Digital],https://nhentai.net/g/273440,kanroame,null
324352,[Tenkirin (Kanroame)] Naritakunai no ni Succubus ni Natte Shimatta Yamada-san | Yamada-san Became a Succubus Against Her Will [English] [EHCOVE] [Digital],https://nhentai.net/g/324352,kanroame,null
198029,(C91) [Cleari tei (Clearite)] Pokemon Trainer Alola no Sugata (Pokémon) [English] {doujins.com},https://nhentai.net/g/198029,clearite,lillie
393880,[Chouzankai (TER)] Onnanoko-tachi no Himitsu no Bouken 3 | Girls' Little Secret Adventure 3 (Pokémon Sun & Moon) [English] [The Blavatsky Project],https://nhentai.net/g/393880,ter,lana
363031,[Chouzankai (TER)] Onnanoko-tachi no Himitsu no Bouken 2 (Pokémon Sun & Moon) [English],https://nhentai.net/g/363031,ter,lillie
198792,(C91) [Cleari tei (Clearite)] Pokemon Trainer Alola no Sugata (Pokémon) [Chinese] [final個人漢化],https://nhentai.net/g/198792,clearite,lillie
250377,(C94) [PYPYworks (Syamonabe)] Oshiete Lillie (Pokémon Sun and Moon),https://nhentai.net/g/250377,syamonabe,lillie
356279,(C93) [Funi Funi Lab (Tamagoro)] MAO FRIENDS 2 (Pokémon) [English] [Belldandy100] [Decensored],https://nhentai.net/g/356279,tamagoro,mallow
192669,[Service Heaven (Hayashi)] Arora Girls Surprise (Pokémon) [English] {Hennojin},https://nhentai.net/g/192669,hayashi,ash ketchum
297344,"(C95) [PYPYworks (Syamonabe)] Gomen ne Lillie | Sorry, Lillie (Pokémon Sun and Moon) [English] {Hennojin}",https://nhentai.net/g/297344,syamonabe,lana
284671,(C96) [DOLL PLAY (Kurosu Gatari)] Alola no Yoru no Sugata 5 (Pokémon Sun and Moon) [English] [Otokonoko Scans],https://nhentai.net/g/284671,kurosu gatari,lana
225306,(C93) [Funi Funi Lab (Tamagoro)] MAO FRIENDS2 (Pokémon) [English] [biribiri],https://nhentai.net/g/225306,tamagoro,lana
329176,"(C92) [SUKAPON-DO (Kagawa Tomonobu, Yano Takumi)] Motto! Elf Sensei (Eromanga Sensei) [Chinese] [寂月汉化组]",https://nhentai.net/g/329176,kagawa tomonobu,masamune izumi
240912,(C90) [Hannama (Serere)] Propose! (Eromanga Sensei) [English] [PerceptivePercival],https://nhentai.net/g/240912,inato serere,masamune izumi
327747,(C92) [Nylon 100% (Nylon)] Muramasa-senpai no Ero Light Novel Shuzai (Eromanga-sensei) [English] {Hennojin},https://nhentai.net/g/327747,nylon,masamune izumi
257140,(C94) [Byousatsu Tanukidan (Saeki Tatsuya)] Momo to Ichigo no Parfait ~Rennyuu Zoe~ (THE [email protected] CINDERELLA GIRLS),https://nhentai.net/g/257140,saeki tatsuya,arisu tachibana
243596,(C94) [Pettan Doujou (PettanP)] Docchika nante Erabenai (THE [email protected] CINDERELLA GIRLS),https://nhentai.net/g/243596,pettanp,arisu tachibana
184126,(C91) [MARIMO (AHEN)] Caramel Macchiato 8 (THE [email protected] CINDERELLA GIRLS),https://nhentai.net/g/184126,ahen,arisu tachibana
214199,"(C92) [ぴこぴこ亭&うさぎあめ (いのうえみたん, 伊予原勘助)] ラノベ展開のエロマンガはお好きですか (エロマンガ先生)",https://nhentai.net/g/214199,inoue mitan,megumi jinno
210438,(SC2017 Summer) [BANGEYA (Kanno Kei)] office+love6.5 (Eromanga Sensei),https://nhentai.net/g/210438,kanno kei,masamune izumi
391575,[ふみひこ] 潤●る●あ (潤羽るしあ) [CHINESE][齁山孝子],https://nhentai.net/g/391575,fumihiko,uruha rushia
103978,(C85) [Popochichi (Yahiro Pochi)] Shimakaze-chan Kai (Kantai Collection -KanColle-) [English] [Facedesk],https://nhentai.net/g/103978,yahiro pochi,shimakaze
93353,(C83) [Popochichi (Yahiro Pochi)] Chuunibyou Demo H ga Shitai! 2 (Chuunibyou Demo Koi ga Shitai!) [English] {Doujin-moe.us},https://nhentai.net/g/93353,yahiro pochi,yuuta togashi
101842,(SC61) [Popochichi (Yahiro Pochi)] Kyoukai no Kanojo | Boundary Girlfriend (Kyoukai no Kanata) [English],https://nhentai.net/g/101842,yahiro pochi,mirai kuriyama
365324,[Yahiro Pochi] Dopure - pure girl's experiences,https://nhentai.net/g/365324,yahiro pochi,null
283100,[Popochichi (Yahiro Pochi)] Tadashii Majutsu no Asobikata [Billiards Hen] [English] [NHNL] [Digital],https://nhentai.net/g/283100,yahiro pochi,null
136561,[Popochichi (Yahiro Pochi)] Kami Pai (Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka) [English] [PSYN],https://nhentai.net/g/136561,yahiro pochi,hestia
326132,[micro page (Kuromotokun)] JC Saimin de Seikyouiku 2 | Teaching a Beautiful Young Girl Sex-Ed via Hypnosis 2 [English] [The Unseelie Court] [Digital],https://nhentai.net/g/326132,kuromotokun,null
271443,(C95) [micro page (Kuromotokun)] JC Chikan de Seikyouiku 2 + JC no Omake | Molesting a Middle Schooler for Sex Education 2 + Extra [English] [Doujin Dungeon],https://nhentai.net/g/271443,kuromotokun,null
208993,(C92) [micro page (Kuromotokun)] JC Rachitte Seikyouiku 2 | Sex ED by kidnapping 2 [English] [ATF],https://nhentai.net/g/208993,kuromotokun,null
196644,(C91) [micro page (Kuromotokun)] JC Rachitte Seikyouiku | Sex Ed by kidnapping [English] [ATF],https://nhentai.net/g/196644,kuromotokun,null
264609,(C93) [micro page (Kuromotokun)] JC Chikan de Seikyouiku + Kaijou Gentei Omakebon | Molesting a grade schooler for sex education [English] [Loligasm],https://nhentai.net/g/264609,kuromotokun,null
325605,(C94) [micro page (Kuromotokun)] JC Roshutsu de Seikyouiku | Teaching a Junior High School Girl Sex-Ed with Exhibitionism [English] [The Unseelie Court],https://nhentai.net/g/325605,kuromotokun,null
332954,(C96) [Nameless (GuiZhenCao)] Moshi Nezuko ga Warui Hito ni Tsukamattara... (Kimetsu no Yaiba) [English] [Colorized],https://nhentai.net/g/332954,null,nezuko kamado
363786,[Eromazun (Ma-kurou)] Saimin Onsen Kanroji Mitsuri - RAPE OF DEMON SLAYER 5 | Hypno Hotsprings Kanroji Mitsuri - RAPE OF DEMON SLAYER 5 (Kimetsu no Yaiba) [English] {Doujins.com} [Digital],https://nhentai.net/g/363786,ma,mitsuri kanroji
